"Year","Region","Species","Landings (kt)"
1988,"2HJ3KLNO","Roughhead Grenadier",0.96
1988,"2HJ3KLNO","Roundnose Grenadier",5.014
1988,"2HJ3KLNO","Silver Hake",0.19
1988,"2HJ3KLNO","Skate spp.",19.158
1988,"2HJ3KLNO","White Hake",2.934
1988,"2HJ3KLNO","Witch Flounder",10.692
1988,"2HJ3KLNO","Wolffish spp.",1.222
1988,"2HJ3KLNO","Yellowtail Flounder",15.055
1989,"2HJ3KLNO","American Plaice",45.454
1989,"2HJ3KLNO","Atlantic Cod",284.626
1989,"2HJ3KLNO","Atlantic Halibut",0.691
1989,"2HJ3KLNO","Greenland Halibut",18.706
1989,"2HJ3KLNO","Haddock",6.7
1989,"2HJ3KLNO","Monkfish",0.237
1989,"2HJ3KLNO","Red Hake",0.334
1989,"2HJ3KLNO","Redfish spp.",46.07
1989,"2HJ3KLNO","Roughhead Grenadier",0.305
1989,"2HJ3KLNO","Roundnose Grenadier",4.625
1989,"2HJ3KLNO","Silver Hake",0.041
1989,"2HJ3KLNO","Skate spp.",14.846
1989,"2HJ3KLNO","White Hake",2.111
1989,"2HJ3KLNO","Witch Flounder",8.594
1989,"2HJ3KLNO","Wolffish spp.",1.192
1989,"2HJ3KLNO","Yellowtail Flounder",9.166
1990,"2HJ3KLNO","American Plaice",25.815
1990,"2HJ3KLNO","Atlantic Cod",238.228
1990,"2HJ3KLNO","Atlantic Halibut",1.039
1990,"2HJ3KLNO","Greenland Halibut",20.733
1990,"2HJ3KLNO","Haddock",3.173
1990,"2HJ3KLNO","Monkfish",0.198
1990,"2HJ3KLNO","Red Hake",0.254
1990,"2HJ3KLNO","Redfish spp.",36.217
1990,"2HJ3KLNO","Roughhead Grenadier",2.556
1990,"2HJ3KLNO","Roundnose Grenadier",0.707
1990,"2HJ3KLNO","Silver Hake",0.847
1990,"2HJ3KLNO","Skate spp.",14.816
1990,"2HJ3KLNO","White Hake",2.211
1990,"2HJ3KLNO","Witch Flounder",8.177
1990,"2HJ3KLNO","Wolffish spp.",1.683
1990,"2HJ3KLNO","Yellowtail Flounder",8.762
1991,"2HJ3KLNO","American Plaice",26.001
1991,"2HJ3KLNO","Atlantic Cod",164.961
1991,"2HJ3KLNO","Atlantic Halibut",1.462
1991,"2HJ3KLNO","Greenland Halibut",27.4
1991,"2HJ3KLNO","Haddock",1.267
1991,"2HJ3KLNO","Monkfish",0.43
1991,"2HJ3KLNO","Red Hake",0.408
1991,"2HJ3KLNO","Redfish spp.",29.456
1991,"2HJ3KLNO","Roughhead Grenadier",3.771
1991,"2HJ3KLNO","Roundnose Grenadier",0.279
1991,"2HJ3KLNO","Silver Hake",0.033
1991,"2HJ3KLNO","Skate spp.",28.421
1991,"2HJ3KLNO","White Hake",2.533
1991,"2HJ3KLNO","Witch Flounder",7.792
1991,"2HJ3KLNO","Wolffish spp.",2.857
1991,"2HJ3KLNO","Yellowtail Flounder",11.015
1992,"2HJ3KLNO","American Plaice",10.973
1992,"2HJ3KLNO","Atlantic Cod",39.555
1992,"2HJ3KLNO","Atlantic Halibut",0.381
1992,"2HJ3KLNO","Greenland Halibut",41.547
1992,"2HJ3KLNO","Haddock",1.004
1992,"2HJ3KLNO","Monkfish",0.294
1992,"2HJ3KLNO","Red Hake",0.458
1992,"2HJ3KLNO","Redfish spp.",29.885
1992,"2HJ3KLNO","Roughhead Grenadier",1.577
1992,"2HJ3KLNO","Roundnose Grenadier",2.911
1992,"2HJ3KLNO","Silver Hake",0.016
1992,"2HJ3KLNO","Skate spp.",5.159
1992,"2HJ3KLNO","White Hake",1.7
1992,"2HJ3KLNO","Witch Flounder",7.663
1992,"2HJ3KLNO","Wolffish spp.",0.464
1992,"2HJ3KLNO","Yellowtail Flounder",10.796
1993,"2HJ3KLNO","American Plaice",7.993
1993,"2HJ3KLNO","Atlantic Cod",14.027
1993,"2HJ3KLNO","Atlantic Halibut",0.326
1993,"2HJ3KLNO","Greenland Halibut",43.446
1993,"2HJ3KLNO","Haddock",0.867
1993,"2HJ3KLNO","Monkfish",0.438
1993,"2HJ3KLNO","Red Hake",0.365
1993,"2HJ3KLNO","Redfish spp.",28.196
1993,"2HJ3KLNO","Roughhead Grenadier",1.502
1993,"2HJ3KLNO","Roundnose Grenadier",2.322
1993,"2HJ3KLNO","Silver Hake",0
